T=415 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=425 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=435 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=445 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=455 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=465 ns | rst=1 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=475 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=485 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=495 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=505 ns | rst=1 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=515 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=525 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=535 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=545 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=555 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=565 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=575 ns | rst=1 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=1 | net_so=0 net_ro=0 net_ri=0 | VC=0 pol=0
T=585 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=595 ns | rst=0 | nicEn=1 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=605 ns | rst=0 | nicEn=1 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=615 ns | rst=0 | nicEn=0 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=625 ns | rst=0 | nicEn=0 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
